Station : KARACHI-AP      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
  12  1016.6 1013.2 1010.0 1001.4  999.9  999.1  998.4  991.9  998.2 1007.0 1015.1 1012.7
  13  1015.0 1008.9 1009.8 1000.7  997.5 1000.6  994.9  995.0 1000.4 1009.9 1012.3 1013.0
  14  1016.1 1009.4 1010.1 1003.0  997.9 1001.5  993.5  994.8 1001.2 1009.6 1011.4 1014.5
  15  1016.5 1010.7 1008.7 1003.1 1000.1 1000.1  993.8  995.4 1001.8 1009.6 1014.4 1013.4
  16  1015.8 1009.2 1006.8 1001.4  999.8  998.4  994.2  999.2 1000.1 1009.7 1014.2 1010.9
  17  1016.8 1007.4 1006.0 1001.5  998.3  997.7  994.5  996.5  999.5 1011.4 1013.6 1012.1
  18  1016.9 1008.0 1004.5 1005.3  999.4  998.0  997.8  995.8 1004.3 1009.4 1012.8 1012.7
  19  1013.7 1011.2 1003.1 1008.5 1002.1  999.0  998.3  997.5 1005.4 1007.4 1013.1 1012.1
  20  1009.1 1012.3 1003.9 1007.4 1000.8  997.4  998.6  999.1 1004.5 1009.1 1013.4 1011.2
  21  1005.8 1007.0 1006.7 1005.8  999.8  994.3  998.7  999.0 1003.8 1011.3 1011.2 1011.3
  22  1005.3 1005.3 1007.4 1005.7  996.4  997.2 1002.2  998.7 1003.6 1014.9 1012.3 1013.0
  23  1010.4 1009.6 1007.3 1006.4  994.5 1003.9  999.2  997.5 1004.2 1013.6 1013.2 1011.4
  24  1011.0 1012.9 1004.5 1006.2  998.4 1001.2  996.8  999.4 1002.8 1010.6 1011.9 1013.9
  25  1013.3 1012.2 1005.4 1004.7 1003.6  997.2  995.8  999.4 1001.8 1008.0 1012.2 1014.3
  26  1012.5 1010.6 1008.4 1003.8 1001.8  996.0 1001.2 1001.0 1005.6 1009.8 1012.9 1013.7
  27  1015.9 1015.5 1008.0 1004.1  999.8  997.5 1001.7 1002.1 1005.9 1010.3 1008.6 1017.7
  28  1015.0 1014.8 1007.0 1003.7 1000.0  998.2 1003.8 1001.7 1005.1 1011.8 1007.9 1015.7
  29  1013.3  ***   1004.9 1003.5 1000.6  996.2 1003.2 1002.4 1004.3 1011.4 1011.5 1014.5
  30  1012.3  ***   1004.1 1001.0 1000.1  995.1 1002.1 1005.6 1006.0 1012.2 1013.7 1017.3
  31  1008.9  ***   1005.9  ***   1001.2  ***    999.5 1004.9  ***   1011.3  ***   1020.9
AVE.  1013.6 1010.6 1008.7 1004.9 1000.4  999.0  997.4  998.1 1003.1 1008.9 1012.4 1013.4

Station : KARACHI-AP      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
Year : 2022          Relative humidity at 0300 UTC (%)            
   1  57     89     81     27     63     72     79     96     78     81     87     66    
   2  46     90     45     53     56     75     75     88     81     81     84     68    
   3  40     22     68     76     72     75     76     85     85     81     88     80    
   4  49     54     82     84     74     75     79     85     78     85     92     61    
   5  95     77     78     77     74     78     89     82     81     85     87     69    
   6  85     85     66     77     78     78     89     82     81     84     83     69    
   7  89     85     83     77     78     78     78     82     81     84     87     67    
   8  88     95     56     42     78     75     88     89     81     51     86     84    
   9  88     84     68     77     75     72     85     89     65     53     82     85    
  10  87     73     73     77     75     75     89     72     63     57     91     75    
  11  76     77     67     81     78     75     92     82     78     70     82     55    
  12  87     68     66     77     75     75     81     85     81     75     82     61    
  13  88     78     70     84     69     78     82     96     88     87     87     54    
  14  61     89     61     81     66     75     85     92     92     79     84     46    
  15  58     79     84     81     75     72     69     85     88     71     67     61    
  16  68     65     84     81     75     75     78     92     85     79     73     73    
  17  56     89     87     85     56     75     75     92     85     59     95     71    
  18  68     90     83     81     72     79     92     92     85     69     86     73    
  19  78     61     80     78     75     79     89     88     85     84     91     83    
  20  86     78     69     78     72     79     82     88     81     84     91     60    
  21  87     82     83     71     82     79     82     88     77     88     56     53    
  22  14     87     71     77     75     79     85     85     85     58     91     44    
  23  28     91     87     81     79     65     82     88     77     63     66     49    
  24  57     70     84     81     78     69     92     92     85     79     85     63    
  25  63     90     88     71     75     75     96     85     77     84     76     81    
  26  82     90     75     75     72     79     96     81     85     88     75     67    
  27  65     61     66     78     78     82     92     77     81     84     90     67    
  28  76     48     73     81     72     79     92     85     85     91     80     53    
  29  83      ***   70     75     72     79     81     81     85     84     70     86    
  30  95      ***   76     60     75     82     85     81     81     83     59     51    
  31  91      ***   26      ***   72      ***   88     81      ***   83      ***   59    
AVE.    70.7   76.7   72.6   74.1   73.1   76.1   84.6   86.0   81.3   76.9   81.8   65.6

Station : KARACHI-AP      
Day    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
Year : 2022          Cloud, total amount at 0300 UTC (okta)       
   1   2      0      0      0      0      1      7      8      6      1      0      0    
   2   0      0      0      0      0      2      7      7      7      6      0      0    
   3   3      0      0      0      4      0      5      7      6      6      0      0    
   4   7      0      0      0      4      3      7      8      7      6      0      0    
   5   8      0      4      3      5      5      6      7      4      2      0      0    
   6   7      5      5      2      0      3      7      7      7      2      5      0    
   7   4      3      0      0      3      2      6      1      2      0      2      0    
   8   0      4      2      0      3      5      7      6      2      2      0      0    
   9   0      0      0      0      5      6      7      7      0      0      0      0    
  10   0      0      2      4      5      6      6      7      0      0      0      0    
  11   0      0      0      5      4      4      7      7      3      0      0      0    
  12   3      0      0      0      0      6      5      7      7      0      0      0    
  13   0      0      0      5      0      4      3      8      7      0      0      0    
  14   0      0      0      0      0      4      6      5      0      0      1      0    
  15   0      0      0      0      2      4      6      7      5      0      0      0    
  16   0      0      0      2      0      4      5      6      7      0      0      0    
  17   5      0      0      3      0      4      4      8      0      0      0      0    
  18   0      0      1      6      2      6      7      8      4      0      0      3    
  19   0      0      0      3      4      7      7      8      0      2      0      4    
  20   3      0      0      4      4      7      6      7      4      2      0      5    
  21   4      0      0      4      7      7      7      7      3      0      0      0    
  22   0      0      0      3      6      4      7      6      7      0      0      0    
  23   0      0      1      2      7      0      6      7      4      0      0      0    
  24   0      0      2      4      2      0      7      8      7      0      0      0    
  25   0      0      0      0      5      3      8      7      5      2      0      0    
  26   0      0      0      0      7      1      8      6      5      4      0      0    
  27   0      0      0      3      6      4      8      7      3      0      0      0    
  28   0      3      0      4      6      0      7      6      4      0      0      5    
  29   2      ***    0      0      6      2      7      7      3      0      0      5    
  30   0      ***    0      0      4      7      6      4      3      0      0      0    
  31   3      ***    0      ***    4      ***    7      2      ***    0      ***    0    
AVE.     1.6    0.5    0.5    1.9    3.4    3.7    6.4    6.5    4.1    1.1    0.3    0.7

